stop_date,start_date,duration_time,success_time,success_rate,no_of_stacks,result
2018-09-01 20:55:41.259598,2018-09-01 20:40:13.698130,515,4,0.8,5,0
2018-09-01 17:18:21.502355,2018-09-01 16:49:21.457471,693,5,1,5,1
2018-09-01 11:10:59.832314,2018-09-01 10:06:33.016902,2410,5,1,5,1
2018-08-31 08:34:45.080920,2018-08-31 07:39:46.354664,1418,5,1,5,1
2018-08-30 06:05:54.073675,2018-08-30 05:50:02.991623,485,3,0.6,5,0
2018-08-29 08:36:36.936062,2018-08-29 07:51:05.718085,1524,5,1,5,1
2018-08-28 13:24:44.426266,2018-08-28 12:35:21.085288,2640,0,0,5,0
2018-08-28 08:25:19.013547,2018-08-28 07:32:14.366016,1299,5,1,5,1
2018-08-27 21:43:12.900669,2018-08-27 21:28:51.915682,497,3,0.6,5,0
2018-08-27 02:23:38.393310,2018-08-27 02:00:58.671478,942,4,0.8,5,0
2018-08-26 12:54:49.019340,2018-08-26 11:42:07.045778,1970,5,1,5,1
2018-08-26 09:45:16.663035,2018-08-26 08:56:28.250594,1314,5,1,5,1
2018-08-25 09:32:06.341688,2018-08-25 08:53:57.711227,1973,4,0.8,5,0
2018-08-24 12:25:39.755916,2018-08-24 11:30:20.218878,1362,5,1,5,1
2018-08-23 12:38:51.861820,2018-08-23 11:32:43.625350,3645,0,0,5,0
2018-08-23 06:24:24.270779,2018-08-23 06:04:21.421708,425,5,1,5,1
2018-08-21 08:04:08.149957,2018-08-21 07:45:41.098848,1144,3,0.6,5,0
2018-08-20 09:10:41.548020,2018-08-20 08:19:54.754830,1334,5,1,5,1
2018-08-19 10:35:52.436251,2018-08-19 09:28:37.607451,2005,5,1,5,1
2018-08-18 10:00:00.921445,2018-08-18 09:07:56.822271,1387,5,1,5,1
2018-08-17 19:43:48.958590,2018-08-17 19:26:12.543204,662,0,0,5,0
2018-08-17 13:22:38.770425,2018-08-17 13:00:56.219614,948,0,0,5,0
2018-08-16 07:20:36.917329,2018-08-16 06:52:19.949925,1402,1,0.2,5,0
2018-08-14 14:24:54.253516,2018-08-14 12:47:00.777728,2034,5,1,5,1
2018-08-14 03:23:51.824560,2018-08-14 02:50:17.217446,1660,4,0.8,5,0
2018-08-13 13:02:44.264957,2018-08-13 12:39:53.523891,959,0,0,5,0
2018-08-12 10:51:54.560674,2018-08-12 09:50:45.393939,1597,5,1,5,1
2018-08-11 18:12:22.040105,2018-08-11 17:55:01.879898,666,0,0,5,0
2018-08-11 10:24:20.289264,2018-08-11 10:03:07.028013,962,0,0,5,0
2018-08-10 07:50:28.377167,2018-08-10 07:30:13.914089,891,0,0,5,0
2018-08-10 06:06:01.647214,2018-08-10 05:11:33.658881,1469,5,1,5,1
2018-08-08 08:15:16.487997,2018-08-08 07:56:21.953668,798,1,0.2,5,0
2018-08-08 01:26:10.140628,2018-08-08 01:07:00.948652,962,0,0,5,0
2018-08-07 09:57:29.365647,2018-08-07 09:35:41.441805,851,1,0.2,5,0
2018-08-06 11:11:17.652937,2018-08-06 10:23:39.024222,1675,5,1,5,1
2018-08-05 02:53:05.584280,2018-08-05 01:49:44.457769,3616,4,0.8,5,0
2018-08-04 11:28:15.579100,2018-08-04 10:45:49.472383,2328,0,0,5,0
2018-08-04 06:49:18.457080,2018-08-04 05:48:37.516767,1576,5,1,5,1
2018-08-03 13:13:21.060889,2018-08-03 12:52:32.632054,892,0,0,5,0
2018-08-03 06:19:35.223205,2018-08-03 05:59:50.328189,418,0,0,20,0
2018-08-02 14:51:31.236391,2018-08-02 13:58:27.862609,2254,0,0,5,0
2018-08-02 08:25:48.037741,2018-08-02 07:34:10.746262,1370,5,1,5,1
2018-08-01 17:06:49.373880,2018-08-01 16:36:18.245823,670,0,0,5,0
2018-07-31 18:19:40.743116,2018-07-31 17:59:33.890778,874,0,0,5,0
2018-07-31 01:34:26.180115,2018-07-31 00:55:57.074399,1190,5,1,5,1
2018-07-30 16:03:39.740695,2018-07-30 14:55:00.721637,1819,5,1,5,1
2018-07-30 14:03:12.565146,2018-07-30 13:42:16.460789,669,0,0,5,0
2018-07-30 11:53:02.891872,2018-07-30 11:15:22.203676,739,2,0.4,5,0
2018-07-29 11:48:38.374525,2018-07-29 11:29:16.874702,972,0,0,5,0
2018-07-29 06:28:52.262136,2018-07-29 06:01:18.585219,6169,0,0,20,0
2018-07-28 16:18:09.422436,2018-07-28 15:09:57.963038,1827,5,1,5,1
2018-07-28 09:35:11.116721,2018-07-28 06:49:18.491656,1219,5,1,5,1
2018-07-28 05:06:49.514741,2018-07-28 04:32:21.510342,671,0,0,5,0
2018-07-27 17:48:57.219440,2018-07-27 17:22:43.263193,1288,3,0.6,5,0
2018-07-27 07:44:17.237210,2018-07-27 07:17:14.708324,1183,1,0.2,5,0
2018-07-26 07:26:49.514073,2018-07-26 06:40:52.300855,1259,5,1,5,1
2018-07-25 11:25:22.274369,2018-07-25 10:54:58.945003,1387,2,0.4,5,0
2018-07-25 09:48:38.615621,2018-07-25 08:09:38.181005,2993,5,1,5,1
2018-07-25 06:30:24.064579,2018-07-25 06:08:15.596416,956,0,0,5,0
2018-07-24 16:47:52.193693,2018-07-24 15:31:22.807020,3041,0,0,5,0
2018-07-23 10:19:48.727282,2018-07-23 09:23:03.586132,724,2,0.4,5,0
2018-07-22 22:51:28.223870,2018-07-22 21:54:45.788542,3189,0,0,5,0
2018-07-22 20:28:44.208888,2018-07-22 19:46:52.114802,2301,0,0,5,0
2018-07-22 06:16:32.182452,2018-07-22 05:28:54.266200,1327,5,1,5,1
2018-07-21 15:04:56.831876,2018-07-21 13:56:49.685618,1418,5,1,5,1
2018-07-21 07:01:42.767627,2018-07-21 06:33:15.236869,129,0,0,20,0
2018-07-20 13:09:05.828769,2018-07-20 12:24:21.397442,2429,0,0,5,0
2018-07-20 08:13:11.429394,2018-07-20 07:45:51.603836,1144,3,0.6,5,0
2018-07-19 13:25:39.857324,2018-07-19 12:51:27.804937,1333,4,0.8,5,0
2018-07-19 05:18:01.243186,2018-07-19 04:42:11.529427,1559,4,0.8,5,0
2018-07-18 10:13:12.117469,2018-07-18 09:23:28.926831,2540,0,0,5,0
2018-07-18 07:30:58.696740,2018-07-18 07:10:08.884788,898,1,0.05,20,0
2018-07-18 05:52:56.812883,2018-07-18 04:48:09.163529,3303,0,0,5,0
2018-07-17 06:12:41.544039,2018-07-17 05:58:34.050941,574,0,0,5,0
2018-07-15 05:56:06.842771,2018-07-15 05:42:44.049256,2823,1,0.05,20,0
2018-07-14 23:45:19.296783,2018-07-14 21:37:45.048276,1882,5,1,5,1
2018-07-14 18:13:27.192166,2018-07-14 16:49:08.972738,2525,5,1,5,1
2018-07-14 08:28:18.010983,2018-07-14 08:05:22.202552,1170,1,0.2,5,0
2018-07-13 16:37:45.961167,2018-07-13 15:36:16.516332,3501,0,0,5,0
2018-07-13 06:58:21.629563,2018-07-13 06:36:30.542096,1089,1,0.2,5,0
2018-07-12 18:50:05.896307,2018-07-12 17:44:13.912133,3616,2,0.4,5,0
2018-07-11 05:32:36.862687,2018-07-11 04:08:01.832640,2402,5,1,5,1
2018-07-10 19:48:26.900431,2018-07-10 18:30:37.889405,1827,5,1,5,1
2018-07-09 19:19:36.877266,2018-07-09 19:01:08.074344,792,2,0.4,5,0
2018-07-08 21:40:10.235530,2018-07-08 18:38:38.741201,1604,5,1,5,1
2018-07-08 05:30:40.861287,2018-07-08 04:44:49.233799,1341,5,1,5,1
2018-07-07 20:17:24.927991,2018-07-07 19:20:21.899653,3613,0,0,20,0
2018-07-07 06:10:55.838946,2018-07-07 05:52:11.330154,853,0,0,5,0
2018-07-06 15:57:31.517995,2018-07-06 14:45:08.141138,2055,5,1,5,1
2018-07-05 11:38:50.080040,2018-07-05 11:15:49.886632,739,2,0.4,5,0
2018-07-05 09:10:04.886119,2018-07-05 07:59:10.499194,4085,0,0,5,0
2018-07-04 18:33:15.816558,2018-07-04 17:46:46.404817,2411,0,0,5,0
2018-07-04 06:38:11.964210,2018-07-04 06:13:46.664105,1167,2,0.4,5,0
2018-07-03 05:24:51.429922,2018-07-03 05:04:34.774949,909,1,0.2,5,0
2018-07-02 15:56:17.794256,2018-07-02 14:55:45.427406,3460,0,0,5,0
2018-07-02 07:00:20.629203,2018-07-02 06:53:42.735506,188,0,0,5,0
2018-07-01 05:02:31.432960,2018-07-01 04:46:08.411513,827,1,0.2,5,0
2018-06-30 02:06:29.940713,2018-06-30 00:41:15.944082,2489,5,1,5,1
2018-06-29 07:45:13.437165,2018-06-29 06:42:29.034917,3311,1,0.05,20,0
2018-06-28 04:21:38.947052,2018-06-28 03:20:58.842515,3617,0,0,20,0
2018-06-27 05:54:08.608623,2018-06-27 05:18:43.432701,152,0,0,20,0
2018-06-26 13:26:02.023625,2018-06-26 13:19:37.582414,206,0,0,20,0
2018-06-26 04:54:47.869542,2018-06-26 03:06:08.722534,6496,0,0,20,0
2018-06-25 05:23:47.382893,2018-06-25 05:18:08.523795,152,0,0,20,0
2018-06-24 17:26:24.512523,2018-06-24 16:21:12.166139,3636,0,0,20,0
2018-06-24 03:29:58.563245,2018-06-24 03:06:09.809306,1201,0,0,20,0
2018-06-22 19:25:44.873265,2018-06-22 18:21:57.425651,3635,0,0,20,0
2018-06-22 15:37:10.911533,2018-06-22 14:31:21.843584,3673,2,0.1,20,0
2018-06-21 23:23:53.744028,2018-06-21 22:23:14.494974,3616,0,0,20,0
2018-06-21 06:40:02.670986,2018-06-21 05:55:00.115419,1727,1,0.05,20,0
2018-06-20 16:25:24.150990,2018-06-20 16:18:11.071719,218,0,0,20,0
2018-06-20 07:30:21.246955,2018-06-20 06:26:58.279302,3615,0,0,20,0
2018-06-19 04:50:05.702817,2018-06-19 04:28:07.194200,133,0,0,20,0
2018-06-18 14:36:48.985211,2018-06-18 14:26:39.785477,114,0,0,20,0
2018-06-18 03:13:19.448893,2018-06-18 02:49:27.286700,1242,0,0,20,0
2018-06-17 17:11:44.778662,2018-06-17 16:09:17.012247,3616,0,0,20,0
2018-06-17 03:43:33.998855,2018-06-17 03:37:41.681396,117,0,0,20,0
2018-06-16 16:19:22.650569,2018-06-16 15:14:32.361162,3674,0,0,20,0
2018-06-16 10:18:50.395358,2018-06-16 09:14:37.738025,3613,0,0,20,0
2018-06-16 03:34:26.023004,2018-06-16 03:16:17.378218,915,0,0,20,0
2018-06-15 08:17:34.647382,2018-06-15 07:11:31.474177,3701,5,0.25,20,0
2018-06-15 06:46:43.353675,2018-06-15 05:42:01.797484,2823,1,0.05,20,0
2018-06-14 21:54:25.125974,2018-06-14 20:29:50.877735,3679,0,0,20,0
2018-06-14 06:42:22.593471,2018-06-14 06:00:28.053404,161,0,0,20,0
2018-06-14 02:15:42.479922,2018-06-14 00:50:15.834414,4121,5,0.25,20,0
2018-06-13 22:17:43.352533,2018-06-13 20:44:53.702256,4531,2,0.1,20,0
2018-06-13 15:23:37.061068,2018-06-13 14:07:17.983943,3386,1,0.05,20,0
